"DATA for Simon Gaechter and Jonathan Schulz: Intrinsic Honesty and Prevalence of Rule Violations across Societies, Nature (2016) doi:10.1038/nature17160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"See README for list of variable labels and SUPPLEMENTARY INFORMATION for detailed descriptions, data sources and references",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,city,location,sessionid,subjectid,insample,prevexp,lowstakes,number,payouts,high,five,six,female,age,middleclass,urban,economics,religious,numknown,q_fair,q_norm,PRV2003,wgi_corrup1996,wgi_corrup2003,wgi_corrup2012,bs_SE1999,bs_SE2003,bs_SE2007,fh_polrights_s2003,fh_polrights_s2012,fh_polrights_2006woC,pol_xconst1990_2000,pol_xconst1890_1900,wgi_goveff2000,GDP_1990_2000,hfs_idv,iw_tradrat,iw_survself,tbl_exconst,tbl_legor_uk,tbl_legor_fr,tbl_pc_tr_tol_all,tbl_prim_newbound_1930,tbl_lyp_m80_00,tbl_lan,sw_fst_distance_weighted,lp_legor_uk,lp_legor_fr,lp_legor_ge,lp_legor_sc,ajr_africa,ajr_lat_abst,ajr_avexpr,ajr_logem4,ajr_asia,ajr_baseco,sr_Belief_in_Heaven,sr_Belief_in_Hell,p_elf85
Turkey,Izmir,Izmir University of Economics,140529_1308,13023,1,-1,0,Reported 4,4,high payout,0,0,0,24,1,1,0,0,22.222221,1,10,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1308,13024,1,-1,0,Reported 3,3,high payout,0,0,1,23,,1,0,1,22.222221,1,8,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1308,13025,1,-1,0,Reported 4,4,high payout,0,0,1,23,1,1,0,0,25.925926,0,6,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1308,13026,1,-1,0,Reported 5,5,high payout,1,0,0,23,,1,0,0,37.037037,0,9.333333,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13101,1,-1,0,Reported 6,0,low payout,0,1,1,19,1,1,0,0,14.285714,0,3,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13102,1,-1,0,Reported 5,5,high payout,1,0,1,19,1,1,0,0,33.333332,1,2.6666667,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13103,1,-1,0,Reported 2,2,low payout,0,0,0,20,1,0,0,1,14.285714,0,10,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13104,1,-1,0,Reported 3,3,high payout,0,0,0,24,1,1,0,0,14.285714,1,10,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13105,1,-1,0,Reported 5,5,high payout,1,0,0,21,1,1,0,0,23.809525,1,3.6666667,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13106,1,-1,0,Reported 6,0,low payout,0,1,1,22,1,1,0,0,23.809525,0,9.333333,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13107,1,-1,0,Reported 1,1,low payout,0,0,0,20,,1,0,1,28.571428,1,8,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13108,1,-1,0,Reported 1,1,low payout,0,0,0,20,1,0,0,0,14.285714,0,9,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13109,1,-1,0,Reported 5,5,high payout,1,0,0,22,1,1,0,1,28.571428,0,6,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13110,1,-1,0,Reported 5,5,high payout,1,0,1,24,1,0,0,1,28.571428,1,10,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13111,1,-1,0,Reported 4,4,high payout,0,0,1,25,1,1,0,0,4.7619047,0,10,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13112,1,-1,0,Reported 5,5,high payout,1,0,0,21,1,1,0,1,28.571428,0,8.666667,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13114,1,-1,0,Reported 4,4,high payout,0,0,0,18,1,1,0,1,38.095238,1,4.3333335,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13115,1,-1,0,Reported 5,5,high payout,1,0,1,23,1,1,0,0,14.285714,1,10,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13116,1,-1,0,Reported 1,1,low payout,0,0,1,23,1,1,0,0,19.047619,0,7,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13117,1,-1,0,Reported 5,5,high payout,1,0,0,22,1,1,0,0,9.5238094,1,8.333333,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13118,1,-1,0,Reported 4,4,high payout,0,0,1,23,1,0,0,1,4.7619047,1,8.666667,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13119,1,-1,0,Reported 3,3,high payout,0,0,0,22,1,1,0,1,19.047619,1,8.666667,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13120,1,-1,0,Reported 6,0,low payout,0,1,1,20,1,1,0,1,4.7619047,0,9,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Turkey,Izmir,Izmir University of Economics,140529_1428,13121,1,-1,0,Reported 5,5,high payout,1,0,0,22,1,1,0,0,9.5238094,0,8.666667,0.043708835,-0.22896113,-0.22839954,0.16822293,32.700001,31.799999,29.1,24,28,21,7,1,0.015525599,6.8142734,37,-0.88999999,-0.33000001,6.0500002,0,1,-0.3001357,13.3,8.623024,-1,927.12207,0,1,0,0,0,0.43333334,7.4545455,,1,,0.92,0.93,0.25
Poland,Warsaw,University of Warsaw,140530_1858,12101,1,20,0,Reported 2,2,low payout,0,0,0,32,0,1,0,,,1,9.333333,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12102,1,20,0,Reported 5,5,high payout,1,0,0,27,1,1,0,,,0,6,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12103,1,20,0,Reported 5,5,high payout,1,0,0,22,1,1,0,,,0,4.6666665,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12104,1,20,0,Reported 5,5,high payout,1,0,1,27,1,1,1,,,1,5,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12105,1,20,0,Reported 5,5,high payout,1,0,0,22,1,1,0,,,1,7.6666665,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12106,1,20,0,Reported 1,1,low payout,0,0,1,21,0,1,0,,,1,8.666667,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12107,1,20,0,Reported 5,5,high payout,1,0,1,26,1,1,0,,,0,3.3333333,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12108,1,20,0,Reported 5,5,high payout,1,0,1,24,1,1,0,,,1,7.3333335,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12109,1,20,0,Reported 4,4,high payout,0,0,1,22,1,1,0,,,0,7.3333335,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12110,1,20,0,Reported 5,5,high payout,1,0,1,22,1,1,1,,,1,10,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12111,1,20,0,Reported 5,5,high payout,1,0,1,22,1,1,0,,,1,7.6666665,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12113,1,20,0,Reported 2,2,low payout,0,0,0,21,1,1,0,,,0,6.3333335,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12114,1,20,0,Reported 6,0,low payout,0,1,1,23,1,0,1,,,0,5,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12115,1,20,0,Reported 6,0,low payout,0,1,1,30,1,0,0,,,0,8,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12116,1,20,0,Reported 6,0,low payout,0,1,0,28,0,0,1,,,1,9.333333,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12117,1,20,0,Reported 1,1,low payout,0,0,1,23,1,1,1,,,1,5.3333335,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12118,1,20,0,Reported 4,4,high payout,0,0,0,21,1,1,0,,,1,8.333333,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12119,1,20,0,Reported 5,5,high payout,1,0,1,26,1,1,0,,,0,4.3333335,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12120,1,20,0,Reported 4,4,high payout,0,0,0,25,1,1,0,,,0,6.6666665,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140530_1858,12121,1,20,0,Reported 5,5,high payout,1,0,0,28,1,1,1,,,0,6.3333335,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140531_1843,12201,1,20,0,Reported 5,5,high payout,1,0,0,22,0,1,1,,,0,6.3333335,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140531_1843,12202,1,20,0,Reported 6,0,low payout,0,1,0,27,1,1,0,,,0,8.666667,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140531_1843,12203,1,20,0,Reported 4,4,high payout,0,0,1,20,1,1,1,,,1,8,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140531_1843,12204,1,20,0,Reported 4,4,high payout,0,0,0,24,1,1,0,,,0,4,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140531_1843,12205,1,20,0,Reported 5,5,high payout,1,0,1,20,0,0,0,,,0,10,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140531_1843,12206,1,20,0,Reported 3,3,high payout,0,0,1,25,1,1,0,,,1,9.333333,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140531_1843,12207,1,20,0,Reported 5,5,high payout,1,0,0,21,1,1,0,,,1,8.333333,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140531_1843,12208,1,20,0,Reported 5,5,high payout,1,0,1,22,1,0,1,,,0,7.6666665,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140531_1843,12209,1,20,0,Reported 5,5,high payout,1,0,1,23,0,0,0,,,1,8.333333,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140531_1843,12210,1,20,0,Reported 5,5,high payout,1,0,1,21,1,1,1,,,1,8.666667,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140531_1843,12211,1,20,0,Reported 1,1,low payout,0,0,1,23,0,1,0,,,1,9.333333,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140531_1843,12212,1,20,0,Reported 4,4,high payout,0,0,0,25,1,1,0,,,1,5.6666665,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140531_1843,12213,1,20,0,Reported 1,1,low payout,0,0,0,22,1,1,0,,,0,7.6666665,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140531_1843,12214,1,20,0,Reported 4,4,high payout,0,0,1,24,1,1,1,,,0,7,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140531_1843,12215,1,20,0,Reported 3,3,high payout,0,0,1,24,1,1,1,,,1,5,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140531_1843,12216,1,20,0,Reported 3,3,high payout,0,0,1,20,1,1,1,,,0,6.6666665,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
Poland,Warsaw,University of Warsaw,140601_1845,12301,1,20,0,Reported 4,4,high payout,0,0,0,18,1,1,0,,,1,7,-1.0848333,0.54245067,0.38324603,0.58550471,27.700001,27.5,26,37,38,28,6.3636365,,0.59750473,7.551887,60,-0.77999997,-0.14,3.8780489,0,0,0.060041633,56.799999,8.8457756,-1,318.83548,0,0,1,0,0,0.5777778,7.681818,,0,,,0.63,0.04
